Date,Price
5/6/2026,"26,327.50"
5/5/2026,"26,323.00"
5/4/2026,"26,339.50"
5/1/2026,"26,356.00"
4/30/2026,"26,356.00"
4/29/2026,"26,356.00"
4/28/2026,"26,348.00"
4/27/2026,"26,359.00"
4/24/2026,"26,359.00"
4/23/2026,"26,327.00"
4/22/2026,"26,322.50"
4/21/2026,"26,330.00"
4/20/2026,"26,333.00"
4/17/2026,"26,335.00"
4/16/2026,"26,333.50"
4/15/2026,"26,330.00"
4/14/2026,"26,342.50"
4/13/2026,"26,343.00"
4/10/2026,"26,336.00"
4/9/2026,"26,325.00"
4/8/2026,"26,332.50"
4/7/2026,"26,334.00"
4/6/2026,"26,336.50"
4/3/2026,"26,340.00"
4/2/2026,"26,336.00"
4/1/2026,"26,335.00"
3/31/2026,"26,340.00"
3/30/2026,"26,345.00"
3/27/2026,"26,337.50"
3/26/2026,"26,351.00"
3/25/2026,"26,350.00"
3/24/2026,"26,357.00"
3/23/2026,"26,341.00"
3/20/2026,"26,312.00"
3/19/2026,"26,290.00"
3/18/2026,"26,310.00"
3/17/2026,"26,300.00"
3/16/2026,"26,290.00"
3/13/2026,"26,294.00"
3/12/2026,"26,275.00"
3/11/2026,"26,250.00"
3/10/2026,"26,235.00"
3/9/2026,"26,277.50"
3/6/2026,"26,240.00"
3/5/2026,"26,215.00"
3/4/2026,"26,220.00"
3/3/2026,"26,200.00"
3/2/2026,"26,165.00"
2/27/2026,"26,045.00"
2/26/2026,"26,075.00"
2/25/2026,"26,102.00"
2/24/2026,"26,195.00"
2/23/2026,"26,120.00"
2/20/2026,"25,970.00"
2/19/2026,"25,970.00"
2/18/2026,"25,970.00"
2/17/2026,"25,970.00"
2/16/2026,"25,970.00"
2/13/2026,"25,970.00"
2/12/2026,"25,960.00"
2/11/2026,"26,000.00"
2/10/2026,"25,885.00"
2/9/2026,"25,910.00"
2/6/2026,"25,950.00"
2/5/2026,"25,955.00"
2/4/2026,"25,982.00"
2/3/2026,"26,002.00"
2/2/2026,"26,020.00"
1/30/2026,"25,940.00"
1/29/2026,"26,000.00"
1/28/2026,"26,065.00"
1/27/2026,"26,134.00"
1/26/2026,"26,187.50"
1/23/2026,"26,245.00"
1/22/2026,"26,269.50"
1/21/2026,"26,265.00"
1/20/2026,"26,265.00"
1/19/2026,"26,265.00"
1/16/2026,"26,275.00"
1/15/2026,"26,270.00"
1/14/2026,"26,277.50"
1/13/2026,"26,287.50"
1/12/2026,"26,275.00"
1/10/2026,"26,255.00"
1/9/2026,"26,270.00"
1/8/2026,"26,270.00"
1/7/2026,"26,274.00"
1/6/2026,"26,275.50"
1/5/2026,"26,274.50"
1/2/2026,"26,300.00"
1/1/2026,"26,300.00"
12/31/2025,"26,300.00"
12/30/2025,"26,265.00"
12/29/2025,"26,285.00"
12/26/2025,"26,291.00"
12/25/2025,"26,280.00"
12/24/2025,"26,320.00"
12/23/2025,"26,331.00"
12/22/2025,"26,340.00"
12/19/2025,"26,312.50"
12/18/2025,"26,325.00"
12/17/2025,"26,335.00"
12/16/2025,"26,345.00"
12/15/2025,"26,320.00"
12/12/2025,"26,306.00"
