txid,ttf,fee,status,error
6IPWMTK2B4J44QXO4ZUHCYEWCOOZOP2WWU7YBXENRQQARHW3HMZQ,,3000,failed,"{""data"":{""app-index"":3548200231,""eval-states"":[{},{""stack"":[0]}],""group-index"":1,""pc"":126},""message"":""TransactionPool.Remember: transaction FZ2AFVU6I33UFEST7Q7G2FG4QUILZ3MCT75PPXEUIEGDCCI2UXVA: logic eval error: assert failed pc=126. Details: app=3548200231, pc=126, opcodes=app_global_get; \u003e; assert""}
"
66BEUTYU45NKPAE7FLXZ4HRHGEHPBU2IFABJUSK4LBYT3JS3MQHQ,,3000,failed,"{""data"":{""app-index"":3548200231,""eval-states"":[{},{""stack"":[0]}],""group-index"":1,""pc"":126},""message"":""TransactionPool.Remember: transaction UYII75MAMCAKJCN2L77EOKIRTPNGJB4QFFLDYVLFYGUWQFQX4JXQ: logic eval error: assert failed pc=126. Details: app=3548200231, pc=126, opcodes=app_global_get; \u003e; assert""}
"
ZFAA5DZT7RKQZLTGB5YTCT5MIQ4VNCGGCTWZVEZUDRBKIV43ZOMA,,3000,failed,"{""data"":{""app-index"":3548200231,""eval-states"":[{},{""stack"":[0]}],""group-index"":1,""pc"":126},""message"":""TransactionPool.Remember: transaction TNVNMJT7SVT73YJZPUK4KVOK7KW6TMPU6CFIOZXETKIGES43HNAQ: logic eval error: assert failed pc=126. Details: app=3548200231, pc=126, opcodes=app_global_get; \u003e; assert""}
"
QCOZHCJGYO24NUMKY6KGS7S4Q5MLKI7C6PYTYTPKLLDK6AOV4UWQ,,3000,failed,"{""data"":{""app-index"":3548200231,""eval-states"":[{},{""stack"":[0]}],""group-index"":1,""pc"":126},""message"":""TransactionPool.Remember: transaction 2N4RMBL5KFQ53V4TNW73WRR4IODSQQZXEDEGWOB5NHR3YAS4EIWA: logic eval error: assert failed pc=126. Details: app=3548200231, pc=126, opcodes=app_global_get; \u003e; assert""}
"
GVHQBRB3UHOKATLEQTNOAVFDYL3RCX3D33KY3IXLIRKXLB5OHDAQ,,3000,failed,"{""data"":{""app-index"":3548200231,""eval-states"":[{},{""stack"":[0]}],""group-index"":1,""pc"":126},""message"":""TransactionPool.Remember: transaction TGM6BDEL2QOO3D54NFQPG33SM22W6HXC2KS3ZNZGTLPRAF3UNKXQ: logic eval error: assert failed pc=126. Details: app=3548200231, pc=126, opcodes=app_global_get; \u003e; assert""}
"
YIPOGORT3VS22JNMV5B7BO24XEIHZREJXC54RYJUO3SPYTS2RAUQ,,3000,failed,"{""data"":{""app-index"":3548200231,""eval-states"":[{},{""stack"":[0]}],""group-index"":1,""pc"":126},""message"":""TransactionPool.Remember: transaction QDIIR4EDW3JIEY3H3YAI4ZXNC5CBJ5I4WO2XW7D57PD2FQKW3MCA: logic eval error: assert failed pc=126. Details: app=3548200231, pc=126, opcodes=app_global_get; \u003e; assert""}
"
FUAIB3NBJJSREBGIPDWINP6ZXJBFLX4QTAMIDHZMVVMU2SMF5VZA,,3000,failed,"{""data"":{""app-index"":3548200231,""eval-states"":[{},{""stack"":[0]}],""group-index"":1,""pc"":126},""message"":""TransactionPool.Remember: transaction OETQCKY43T4M2PLMVJHV74NJXYNAF277IP3LMDZORKI5THR7QX2Q: logic eval error: assert failed pc=126. Details: app=3548200231, pc=126, opcodes=app_global_get; \u003e; assert""}
"
5FOUGIXWC4EIYOSC3MZ2NYJCCZLAU2WKKTALHOLCX4HKMARHI3FA,,3000,failed,"{""data"":{""app-index"":3548200231,""eval-states"":[{},{""stack"":[0]}],""group-index"":1,""pc"":126},""message"":""TransactionPool.Remember: transaction 6CQUYMQCT4556EBCKTLACVT3CRUKMIZVOVYGVQB3JRGOUNKSE3ZA: logic eval error: assert failed pc=126. Details: app=3548200231, pc=126, opcodes=app_global_get; \u003e; assert""}
"
NCFNPDWZITGM2X2T2WQ33MLUWL37KV4YQXAZ2X554GZZK4TUJPTA,,3000,failed,"{""data"":{""app-index"":3548200231,""eval-states"":[{},{""stack"":[0]}],""group-index"":1,""pc"":126},""message"":""TransactionPool.Remember: transaction 2LH6AMLS4YDRWZUJ3OKFUDRSHX3MNWCR7JQ66SY3U2BPCHT25Z3Q: logic eval error: assert failed pc=126. Details: app=3548200231, pc=126, opcodes=app_global_get; \u003e; assert""}
"
VX3UIVTKA7YTGX3UXNF6S4P6FWSE4BGEHW5KD6PUD23ZCZFUFEJA,,3000,failed,"{""data"":{""app-index"":3548200231,""eval-states"":[{},{""stack"":[0]}],""group-index"":1,""pc"":126},""message"":""TransactionPool.Remember: transaction KVHWVYPSX2FQARDWZQCQTKSPRUWNJ5XYKR7T3BUGHLIOURQ7ECFQ: logic eval error: assert failed pc=126. Details: app=3548200231, pc=126, opcodes=app_global_get; \u003e; assert""}
"
